Sample: NiMnInSn
time          time2         time3         T control     T sample      Field (T)
05:53:33      05:53:33      05:53:33      254.999       250.722       0.0000
05:53:34      05:53:34      05:53:34      254.999       250.725       0.0000
05:53:35      05:53:35      05:53:35      255.000       250.722       0.0000
05:53:36      05:53:36      05:53:36      254.998       250.719       0.0000
05:53:37      05:53:37      05:53:37      254.999       250.720       0.0000
05:53:38      05:53:38      05:53:38      255.000       250.719       0.0000
05:53:39      05:53:39      05:53:39      255.000       250.720       0.0000
05:53:40      05:53:40      05:53:40      255.001       250.722       0.0000
05:53:41      05:53:41      05:53:41      255.001       250.720       0.0000
05:53:42      05:53:42      05:53:42      255.000       250.720       0.0000
05:53:43      05:53:43      05:53:43      255.000       250.720       0.0000
05:53:44      05:53:44      05:53:44      255.001       250.719       0.0000
05:53:45      05:53:45      05:53:45      255.000       250.718       0.0000
05:53:46      05:53:46      05:53:46      255.000       250.717       0.0000
05:53:47      05:53:47      05:53:47      255.001       250.719       0.0000
05:53:48      05:53:48      05:53:48      255.001       250.715       0.0000
05:53:49      05:53:49      05:53:49      255.001       250.714       0.0000
05:53:50      05:53:50      05:53:50      255.001       250.713       0.0000
05:53:52      05:53:52      05:53:52      255.000       250.712       0.0000
05:53:53      05:53:53      05:53:53      255.000       250.710       0.0000
05:53:54      05:53:54      05:53:54      255.001       250.710       0.0000
05:53:55      05:53:55      05:53:55      255.001       250.713       0.0000
05:53:56      05:53:56      05:53:56      255.001       250.712       0.0000
05:53:57      05:53:57      05:53:57      255.000       250.711       0.0000
05:53:58      05:53:58      05:53:58      255.000       250.712       0.0000
05:53:59      05:53:59      05:53:59      255.001       250.715       0.0000
05:54:00      05:54:00      05:54:00      255.000       250.718       0.0000
05:54:01      05:54:01      05:54:01      254.999       250.714       0.0000
05:54:02      05:54:02      05:54:02      255.000       250.709       0.0000
05:54:03      05:54:03      05:54:03      255.000       250.709       0.0000
05:54:04      05:54:04      05:54:04      255.001       250.710       0.0000
05:54:05      05:54:05      05:54:05      255.000       250.708       0.0000
05:54:06      05:54:06      05:54:06      255.000       250.706       0.0000
05:54:07      05:54:07      05:54:07      255.001       250.705       0.0000
05:54:08      05:54:08      05:54:08      255.000       250.704       0.0000
05:54:10      05:54:10      05:54:10      255.000       250.705       0.0000
05:54:11      05:54:11      05:54:11      255.001       250.704       0.0000
05:54:12      05:54:12      05:54:12      255.002       250.704       0.0000
05:54:13      05:54:13      05:54:13      255.001       250.702       0.0000
